ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice ,20th Choice
000101-00-0347,C20,C01,C04,C06,C12,,,,,,,,,,,,,,,
000101-00-0350,C18,,,,,,,,,,,,,,,,,,,
000101-00-0354,C01,C20,C02,C18,C12,,,,,,,,,,,,,,,
000101-00-0357,C18,C12,C06,,,,,,,,,,,,,,,,,
000101-00-0358,C20,C18,C06,C16,C12,C11,C03,,,,,,,,,,,,,
000101-00-0362,C20,C06,C12,C13,C16,C18,C14,C01,C02,,,,,,,,,,,
000101-00-0366,C13,C18,C12,C04,C02,C17,C14,,,,,,,,,,,,,
000101-00-0367,C08,C09,C10,,,,,,,,,,,,,,,,,
000101-00-0372,C18,C20,C02,C04,C16,C15,C13,C06,C12,C19,C03,,,,,,,,,
000101-00-0375,C20,C06,,,,,,,,,,,,,,,,,,
000101-00-0376,C18,C20,C06,overvote,C12,,,,,,,,,,,,,,,
000101-00-0380,C20,C18,C06,C12,,,,,,,,,,,,,,,,
000101-00-0382,C01,C02,C04,C16,C17,C06,C20,C13,,,,,,,,,,,,
000101-00-0387,C06,C20,C18,C16,C10,,,,,,,,,,,,,,,
000101-00-0390,C18,C20,C01,C12,C06,,,,,,,,,,,,,,,
000101-00-0393,C01,C14,C05,C09,C02,,,,,,,,,,,,,,,
000101-00-0394,C01,C14,C05,,,,,,,,,,,,,,,,,
000101-00-0398,C02,C01,C20,,,,,,,,,,,,,,,,,
000101-00-0401,C06,C20,C19,C01,C02,C16,,,,,,,,,,,,,,
000101-00-0404,C20,C01,C12,,,,,,,,,,,,,,,,,
000101-00-0408,C18,C20,C06,C12,C04,C02,C15,C16,C13,,,,,,,,,,,
000101-00-0409,C18,C06,,,,,,,,,,,,,,,,,,
000101-00-0414,C04,C02,C20,C16,C19,C17,C15,C18,,,,,,,,,,,,
000101-00-0416,C18,C20,C06,,,,,,,,,,,,,,,,,
000101-00-0418,C18,C20,C06,,,,,,,,,,,,,,,,,
000101-00-0421,C20,C12,C18,,,,,,,,,,,,,,,,,
000101-00-0424,C20,C18,C06,C12,C07,C05,C08,C09,,,,,,,,,,,,
000101-00-0429,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0431,C20,C06,C18,,,,,,,,,,,,,,,,,
000101-00-0434,C20,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0436,C03,C09,C20,C14,C06,C13,C18,C12,C02,C16,C04,C15,,,,,,,,
000101-00-0439,C10,C06,C20,C04,,,,,,,,,,,,,,,,
000101-00-0443,C06,C20,C12,C18,,,,,,,,,,,,,,,,
000101-00-0445,C17,C14,C03,C13,C16,C01,C10,C19,,,,,,,,,,,,
000101-00-0449,C01,C13,C17,C02,C16,C03,C10,C19,,,,,,,,,,,,
000101-00-0451,C14,C06,C18,C20,C05,C11,C08,C12,C03,C01,,,,,,,,,,
000101-00-0455,C02,C18,C13,C12,C20,C17,C16,C15,C07,C08,C09,C10,C04,C05,C06,,,,,
000101-00-0458,C20,C02,C06,C12,C18,C15,C13,C16,,,,,,,,,,,,
000101-00-0460,C06,C01,C20,C18,,,,,,,,,,,,,,,,
000101-00-0465,C20,C04,C02,C01,C18,,,,,,,,,,,,,,,
000101-00-0468,C02,C13,C04,C01,C06,C09,C14,C15,C16,C03,C20,C19,C10,,,,,,,
000101-00-0470,C20,C01,,,,,,,,,,,,,,,,,,
000101-00-0474,,,,,,,,,,,,,,,,,,,,
000101-00-0475,C01,C12,C10,C04,C20,C02,C15,C05,C16,,,,,,,,,,,
000101-00-0478,C01,,,,,,,,,,,,,,,,,,,
000101-00-0482,,,,,,,,,,,,,,,,,,,,
000101-00-0484,C06,,,,,,,,,,,,,,,,,,,
000101-00-0487,C06,C01,C20,C18,C15,,,,,,,,,,,,,,,
000101-00-0492,C20,C18,C01,,,,,,,,,,,,,,,,,
000101-00-0493,C20,C18,C01,,,,,,,,,,,,,,,,,
000101-00-0496,C18,C06,C04,C20,C12,,,,,,,,,,,,,,,
000101-00-0501,,,,,,,,,,,,,,,,,,,,
000101-00-0504,C18,C20,C06,C12,C15,,,,,,,,,,,,,,,
000101-00-0505,C20,C03,C01,,,,,,,,,,,,,,,,,
000101-00-0509,C20,C03,C01,,,,,,,,,,,,,,,,,
000101-00-0512,C01,C02,C20,C06,C10,C16,C03,C12,C04,C13,C18,C15,,,,,,,,
000101-00-0516,C20,C18,C12,C06,,,,,,,,,,,,,,,,
000101-00-0517,C20,C18,C07,C12,,,,,,,,,,,,,,,,
000101-00-0522,C06,C18,C12,,,,,,,,,,,,,,,,,
000101-00-0525,C06,C18,C12,,,,,,,,,,,,,,,,,
000101-00-0528,C04,,,,,,,,,,,,,,,,,,,
000101-00-0530,C01,C14,C08,,,,,,,,,,,,,,,,,
000101-00-0534,C20,C06,C18,C12,C13,C04,,,,,,,,,,,,,,
000101-00-0537,C02,C01,C10,,,,,,,,,,,,,,,,,
000101-00-0539,C20,C06,C12,C16,,,,,,,,,,,,,,,,
000101-00-0542,C06,,,,,,,,,,,,,,,,,,,
000101-00-0545,C20,,,,,,,,,,,,,,,,,,,
000101-00-0547,C20,C15,C01,C06,C12,,,,,,,,,,,,,,,
000101-00-0550,C01,C20,C02,C19,C17,C03,,,,,,,,,,,,,,
000101-00-0555,C10,C14,,,,,,,,,,,,,,,,,,
000101-00-0559,C20,C18,C06,C16,C12,C01,C07,C04,C02,C19,C14,C08,C03,C05,C09,C11,C10,C13,C15,
000101-00-0562,,,,,,,,,,,,,,,,,,,,
000101-00-0564,overvote,overvote,C08,C09,C10,C11,,,,,,,,,,,,,,
000101-00-0567,C12,C18,C20,C06,C08,,,,,,,,,,,,,,,
000101-00-0570,C12,C20,C06,C18,,,,,,,,,,,,,,,,
000101-00-0571,C12,C18,C20,C06,C08,,,,,,,,,,,,,,,
000101-00-0575,C18,C06,C15,C02,C04,,,,,,,,,,,,,,,
000101-00-0579,C03,C20,C18,C17,C16,C11,C09,C15,,,,,,,,,,,,
000101-00-0581,C03,C20,C15,C13,C18,C12,C09,C08,,,,,,,,,,,,
000101-00-0585,C20,C12,C06,C14,C18,,,,,,,,,,,,,,,
000101-00-0587,C20,C14,C02,C04,C01,C16,C15,C06,C18,,,,,,,,,,,
000101-00-0589,C12,C06,C18,,,,,,,,,,,,,,,,,
000101-00-0593,C12,C18,C20,C06,C15,C03,C13,C16,C02,C04,,,,,,,,,,
000101-00-0595,C12,C14,C18,,,,,,,,,,,,,,,,,
000101-00-0602,C18,C20,C12,C06,C16,C15,C13,C03,,,,,,,,,,,,
000101-00-0604,C20,C06,,,,,,,,,,,,,,,,,,
000101-00-0608,overvote,,,,,,,,,,,,,,,,,,,
000101-00-0610,overvote,overvote,,,,,,,,,,,,,,,,,,
000101-00-0613,C18,C13,C12,C16,,,,,,,,,,,,,,,,
000101-00-0616,C18,C13,C11,C15,C12,,,,,,,,,,,,,,,
000101-00-0618,C20,C18,C06,C12,C16,C13,C04,C02,C19,,,,,,,,,,,
000101-00-0621,C03,C13,C02,C20,C10,C01,,,,,,,,,,,,,,
000101-00-0625,C20,C02,C17,C06,C19,C15,C16,C04,C13,C12,,,,,,,,,,
000101-00-0627,C20,C01,C12,C14,C13,C06,C02,,,,,,,,,,,,,
000101-00-0631,C02,C15,C20,,,,,,,,,,,,,,,,,
000101-00-0634,C02,,,,,,,,,,,,,,,,,,,
000101-00-0636,C12,C06,C18,C03,,,,,,,,,,,,,,,,
000101-00-0640,C12,C06,,,,,,,,,,,,,,,,,,
000101-00-0643,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0645,C02,C01,C16,C10,C19,C13,C14,C03,C04,,,,,,,,,,,
000101-00-0647,C01,C16,C10,C04,C08,C13,C18,C06,C17,,,,,,,,,,,
000101-00-0651,C10,C20,C06,,,,,,,,,,,,,,,,,
000101-00-0655,C02,C15,,,,,,,,,,,,,,,,,,
000101-00-0656,C20,C18,C12,C06,C03,C02,C19,,,,,,,,,,,,,
000101-00-0659,C09,C13,C02,C18,,,,,,,,,,,,,,,,
000101-00-0661,C18,C20,C06,C12,C01,,,,,,,,,,,,,,,
000101-00-0663,C18,C20,C06,C01,,,,,,,,,,,,,,,,
000101-00-0666,C20,C04,C02,C06,C18,C01,,,,,,,,,,,,,,
000101-00-0672,C16,C04,C02,C01,,,,,,,,,,,,,,,,
000101-00-0676,C02,C04,C08,C10,,,,,,,,,,,,,,,,
000101-00-0678,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0679,C20,C04,C09,C13,,,,,,,,,,,,,,,,
000101-00-0683,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0686,,,,,,,,,,,,,,,,,,,,
000101-00-0688,C06,C18,C20,C01,,,,,,,,,,,,,,,,
000101-00-0691,C06,,,,,,,,,,,,,,,,,,,
000101-00-0695,C20,C18,C04,C02,C01,,,,,,,,,,,,,,,
000101-00-0697,C20,C18,C12,C06,C13,,,,,,,,,,,,,,,
000101-00-0702,C01,C20,C13,C14,C02,C09,C15,C16,C04,C05,C12,C06,C03,C18,C19,C07,C08,C10,C11,C17
000101-00-0703,C20,,,,,,,,,,,,,,,,,,,
000101-00-0707,C20,,,,,,,,,,,,,,,,,,,
000101-00-0710,C18,C20,,,,,,,,,,,,,,,,,,
000101-00-0713,C18,C20,C06,C12,C02,,,,,,,,,,,,,,,
000101-00-0715,C20,,,,,,,,,,,,,,,,,,,
000101-00-0718,C20,C06,,,,,,,,,,,,,,,,,,
000101-00-0719,overvote,,,,,,,,,,,,,,,,,,,
000101-00-0724,C20,,,,,,,,,,,,,,,,,,,
000101-00-0726,C18,C06,C01,C12,,,,,,,,,,,,,,,,
000101-00-0730,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0731,C20,C06,C18,C12,C02,,,,,,,,,,,,,,,
000101-00-0735,C20,C06,C18,,,,,,,,,,,,,,,,,
000101-00-0740,C20,C18,C02,,,,,,,,,,,,,,,,,
000101-00-0742,C20,C12,C18,C06,,,,,,,,,,,,,,,,
000101-00-0745,C20,C18,C12,C06,,,,,,,,,,,,,,,,
000101-00-0749,C20,C18,C13,,,,,,,,,,,,,,,,,
000101-00-0750,overvote,C20,,,,,,,,,,,,,,,,,,
000101-00-0755,C11,C13,C15,C17,C18,C19,C20,C02,C03,,,,,,,,,,,
000101-00-0757,C20,C18,C12,C06,C04,,,,,,,,,,,,,,,
000101-00-0760,C20,,,,,,,,,,,,,,,,,,,
000101-00-0764,C20,C12,C18,C01,,,,,,,,,,,,,,,,
000101-00-0766,C20,C18,C04,C12,C06,,,,,,,,,,,,,,,
000101-00-0769,C20,C18,C12,C06,,,,,,,,,,,,,,,,
000101-00-0771,C13,C14,C05,C04,C20,C15,,,,,,,,,,,,,,
000101-00-0774,C18,C20,C04,C12,,,,,,,,,,,,,,,,
000101-00-0778,C20,C18,C06,C12,C13,,,,,,,,,,,,,,,
000101-00-0780,C20,C18,C12,C06,,,,,,,,,,,,,,,,
000101-00-0783,C20,C06,C18,C01,C16,C15,C04,,,,,,,,,,,,,
000101-00-0787,C20,C18,C06,C12,C02,C04,,,,,,,,,,,,,,
000101-00-0788,C20,C17,C03,C14,C05,C06,C11,C07,,,,,,,,,,,,
000101-00-0791,C13,C01,C02,C04,C19,,,,,,,,,,,,,,,
000101-00-0796,C12,C18,C19,C20,C06,C08,C16,C15,C10,,,,,,,,,,,
000101-00-0800,C01,C20,C12,,,,,,,,,,,,,,,,,
000101-00-0802,C01,overvote,,,,,,,,,,,,,,,,,,
000101-00-0805,C20,C12,C18,C06,,,,,,,,,,,,,,,,
000101-00-0808,C14,C20,C18,C12,,,,,,,,,,,,,,,,
000101-00-0810,,,,,,,,,,,,,,,,,,,,
000101-00-0814,C20,C18,C12,C06,C04,C13,C15,C16,C02,,,,,,,,,,,
000101-00-0818,C20,C06,C12,C18,,,,,,,,,,,,,,,,
000101-00-0819,C06,C20,,,,,,,,,,,,,,,,,,
000101-00-0821,C06,,,,,,,,,,,,,,,,,,,
000101-00-0824,C06,,,,,,,,,,,,,,,,,,,
000101-00-0827,C06,C12,,,,,,,,,,,,,,,,,,
000101-00-0831,C20,C18,C15,C16,C01,C12,,,,,,,,,,,,,,
000101-00-0833,C20,C18,C12,C06,C04,C07,,,,,,,,,,,,,,
000101-00-0836,C06,C15,C20,,,,,,,,,,,,,,,,,
000101-00-0840,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0842,C09,C01,C16,C14,C20,,,,,,,,,,,,,,,
000101-00-0845,C02,C20,,,,,,,,,,,,,,,,,,
000101-00-0848,overvote,C06,,,,,,,,,,,,,,,,,,
000101-00-0850,C20,C06,,,,,,,,,,,,,,,,,,
000101-00-0855,C14,C17,C20,,,,,,,,,,,,,,,,,
000101-00-0858,C20,C06,,,,,,,,,,,,,,,,,,
000101-00-0859,C06,C16,C20,,,,,,,,,,,,,,,,,
000101-00-0864,C20,C06,C12,C18,,,,,,,,,,,,,,,,
000101-00-0866,C20,C06,C12,C18,,,,,,,,,,,,,,,,
000101-00-0869,C06,C18,C13,C12,C16,C04,overvote,C15,C20,,,,,,,,,,,
000101-00-0873,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-0875,C20,,,,,,,,,,,,,,,,,,,
000101-00-0879,C20,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0881,C18,C01,,,,,,,,,,,,,,,,,,
000101-00-0884,C20,C17,C04,C15,C01,C09,C12,C13,C07,C08,C19,C16,C18,C02,C03,C05,C06,C10,,
000101-00-0888,C20,C16,C18,C12,C04,,,,,,,,,,,,,,,
000101-00-0891,C20,C06,,,,,,,,,,,,,,,,,,
000101-00-0893,C20,C18,C02,C03,C06,C15,C13,C12,C16,,,,,,,,,,,
000101-00-0897,C20,C18,C06,,,,,,,,,,,,,,,,,
000101-00-0900,C15,C20,C06,C14,,,,,,,,,,,,,,,,
000101-00-0902,C20,C11,C16,,,,,,,,,,,,,,,,,
000101-00-0905,C20,C02,C12,C04,,,,,,,,,,,,,,,,
000101-00-0909,C20,C01,C18,C16,C06,C02,C04,C03,C13,,,,,,,,,,,
000101-00-0911,C20,C06,C12,C18,C10,,,,,,,,,,,,,,,
000101-00-0915,C20,C06,C18,,,,,,,,,,,,,,,,,
000101-00-0917,C18,C06,,,,,,,,,,,,,,,,,,
000101-00-0923,overvote,,,,,,,,,,,,,,,,,,,
000101-00-0926,C20,,,,,,,,,,,,,,,,,,,
000101-00-0928,C06,,,,,,,,,,,,,,,,,,,
000101-00-0931,C14,C01,C17,C12,C15,C10,C04,,,,,,,,,,,,,
000101-00-0934,C15,C18,C20,C01,C06,C12,C04,C02,,,,,,,,,,,,
000101-00-0936,C20,C18,C06,C15,C13,C16,C12,C02,C03,,,,,,,,,,,
000101-00-0940,C15,C16,C20,C02,C04,C06,C12,C13,C14,C10,C11,C08,C09,C07,C05,C01,C18,C19,C17,C03
000101-00-0943,C18,,,,,,,,,,,,,,,,,,,
000101-00-0945,C18,,,,,,,,,,,,,,,,,,,
000101-00-0950,C20,C06,C04,,,,,,,,,,,,,,,,,
000101-00-0952,C20,C04,C06,C02,,,,,,,,,,,,,,,,
000101-00-0956,C20,C18,C05,C04,C03,C02,,,,,,,,,,,,,,
000101-00-0959,C18,C12,C06,,,,,,,,,,,,,,,,,
000101-00-0961,C06,C18,,,,,,,,,,,,,,,,,,
000101-00-0965,C02,C06,,,,,,,,,,,,,,,,,,
000101-00-0967,C17,C02,C03,C16,C13,C01,C19,C04,C15,,,,,,,,,,,
000101-00-0971,C03,C02,C04,C13,C01,C15,C16,C12,,,,,,,,,,,,
000101-00-0973,C02,C16,C19,C10,,,,,,,,,,,,,,,,
000101-00-0976,C20,C02,C12,C18,C06,,,,,,,,,,,,,,,
000101-00-0978,C20,C18,C06,C10,C12,C15,,,,,,,,,,,,,,
000101-00-0983,C20,C18,C12,C03,C06,C01,,,,,,,,,,,,,,
000101-00-0984,C20,C18,C16,C15,C02,C04,C12,C06,,,,,,,,,,,,
000101-00-0987,C01,C20,C06,C08,C12,C16,C17,C02,C04,C10,,,,,,,,,,
000101-00-0990,C20,C06,C18,C04,C12,C01,,,,,,,,,,,,,,
000101-00-0995,C20,C06,C19,C15,,,,,,,,,,,,,,,,
000101-00-0996,,,,,,,,,,,,,,,,,,,,
000101-00-1001,C13,C20,C02,C15,C18,C04,C16,C06,,,,,,,,,,,,
000101-00-1003,C14,C09,C13,C16,C02,C15,C17,C10,C05,C04,C19,C03,C01,C11,C12,C08,C07,C18,C20,C06
000101-00-1006,C20,C12,C06,,,,,,,,,,,,,,,,,
000101-00-1009,C06,C02,C04,C16,,,,,,,,,,,,,,,,
000101-00-1012,C06,C02,C04,C16,,,,,,,,,,,,,,,,
000101-00-1016,C06,C12,,,,,,,,,,,,,,,,,,
000101-00-1017,C20,C15,,,,,,,,,,,,,,,,,,
000101-00-1022,C20,C06,C12,C15,C18,C01,C04,C02,C03,,,,,,,,,,,
000101-00-1023,C18,C06,C20,C12,,,,,,,,,,,,,,,,
000101-00-1027,C20,,,,,,,,,,,,,,,,,,,
000101-00-1031,C12,C17,C20,C03,C06,C13,C14,C18,,,,,,,,,,,,
000101-00-1034,C18,C06,C12,C15,C19,C01,C05,C20,C16,,,,,,,,,,,
000101-00-1036,C18,C02,C04,C06,C16,C13,C12,,,,,,,,,,,,,
000101-00-1038,C06,C18,C12,C20,C03,C11,C13,C07,C08,C05,C14,C09,,,,,,,,
000101-00-1041,C02,C01,C10,C13,C03,C14,,,,,,,,,,,,,,
000101-00-1045,C18,C20,C06,,,,,,,,,,,,,,,,,
000101-00-1048,C18,C20,C06,C14,C17,C19,C01,C02,C04,C05,C07,C08,C09,C10,C11,C12,C13,C15,C03,C16
000101-00-1051,C02,C19,C01,C16,C13,C12,C03,C10,C04,,,,,,,,,,,
000101-00-1055,C13,C16,C10,C19,C01,C02,,,,,,,,,,,,,,
000101-00-1056,C20,C18,,,,,,,,,,,,,,,,,,
000101-00-1060,C02,C19,C01,C16,C13,C04,C03,C10,,,,,,,,,,,,
000101-00-1064,C20,C18,C12,,,,,,,,,,,,,,,,,
