ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice
000503-00-0461,C01,C14,C02,C06,C13,,,,,,,,,,,
000503-00-0471,C01,C15,C14,C03,,,,,,,,,,,,
000503-00-0479,C01,C09,C13,C16,C15,C05,,,,,,,,,,
000503-00-0487,C01,,,,,,,,,,,,,,,
000503-00-0489,C01,,,,,,,,,,,,,,,
000503-00-0490,C01,C13,C10,,,,,,,,,,,,,
000503-00-0496,C01,C13,C16,,,,,,,,,,,,,
000503-00-0499,C01,,,,,,,,,,,,,,,
000503-00-0501,C01,C09,C06,,,,,,,,,,,,,
000503-00-0518,C01,C02,C14,,,,,,,,,,,,,
000503-00-0524,C01,C06,C13,,,,,,,,,,,,,
000503-00-0530,C01,,,,,,,,,,,,,,,
000503-00-0535,C01,C15,C09,C06,C05,C12,C16,C08,C04,,,,,,,
000503-00-0538,C01,C02,C09,C05,C04,C13,C14,C15,C16,,,,,,,
000503-00-0545,C01,,,,,,,,,,,,,,,
000503-00-0550,C01,C02,C03,C07,C14,C11,C12,,,,,,,,,
000503-00-0553,C01,C05,C02,,,,,,,,,,,,,
000503-00-0563,C01,C12,,,,,,,,,,,,,,
000503-00-0566,C01,C13,C14,C06,C05,,,,,,,,,,,
000503-00-0575,C01,C06,C02,C14,,,,,,,,,,,,
000503-00-0581,C01,C11,,,,,,,,,,,,,,
000503-00-0582,C01,C05,C12,,,,,,,,,,,,,
000503-00-0584,C01,C11,,,,,,,,,,,,,,
000503-00-0586,C01,C05,C13,C16,C09,C07,C12,C02,C15,,,,,,,
000503-00-0592,C01,C02,C05,,,,,,,,,,,,,
000503-00-0595,C01,C13,C03,,,,,,,,,,,,,
000503-00-0602,C01,C02,C04,C12,C13,C16,,,,,,,,,,
000503-00-0616,C01,C02,C13,C11,C05,C10,,,,,,,,,,
000503-00-0624,C01,C13,,,,,,,,,,,,,,
000503-00-0630,C01,C06,,,,,,,,,,,,,,
000503-00-0652,C01,C05,C12,,,,,,,,,,,,,
000503-00-0658,C01,C02,C12,C09,C13,C11,,,,,,,,,,
000503-00-0677,C01,C09,C13,C16,,,,,,,,,,,,
000503-00-0684,C01,,,,,,,,,,,,,,,
000503-00-0687,C01,C02,C13,,,,,,,,,,,,,
000503-00-0691,C01,C13,C12,C04,C09,C16,C07,C05,C06,C15,,,,,,
000503-00-0693,C01,C13,C12,C04,C09,C16,C07,C05,C06,C15,C02,C11,,,,
000503-00-0700,C01,C13,C02,C03,C06,C16,,,,,,,,,,
000503-00-0718,C01,C09,C12,C16,,,,,,,,,,,,
000503-00-0719,C01,C13,C11,C15,C06,C02,,,,,,,,,,
000503-00-0723,C01,C13,C02,C07,,,,,,,,,,,,
000503-00-0736,C01,C12,C02,,,,,,,,,,,,,
000503-00-0739,C01,,,,,,,,,,,,,,,
000503-00-0744,C01,C13,,,,,,,,,,,,,,
000503-00-0747,C01,C12,C13,C04,C06,C05,,,,,,,,,,
000503-00-0752,C01,C13,C05,C12,C09,,,,,,,,,,,
000503-00-0753,C01,C13,,,,,,,,,,,,,,
000503-00-0760,C01,C14,C02,C10,C15,C13,C04,C06,C12,,,,,,,
000503-00-0762,C01,C02,C15,C13,C05,C06,C12,C11,,,,,,,,
000503-00-0767,C01,C02,C05,C12,C11,C15,C13,C03,C04,,,,,,,
000503-00-0773,C01,C13,C09,C16,C05,C12,C02,C04,C07,C08,C15,C14,C11,C10,C06,C03
000503-00-0790,C01,C02,C11,C05,C03,C12,C13,,,,,,,,,
000503-00-0794,C01,C13,C02,C05,C06,C15,C11,C10,C03,C09,C08,C07,,,,
000503-00-0803,C01,C16,C02,C09,C12,C07,,,,,,,,,,
000503-00-0805,C01,C03,C09,C10,C14,C12,C08,C07,C04,C16,C02,C05,C06,C15,C11,C13
000503-00-0810,C01,C13,C02,C04,C16,,,,,,,,,,,
000503-00-0825,C01,C02,C13,C12,C11,C09,,,,,,,,,,
000503-00-0826,C01,C06,C13,C09,C12,,,,,,,,,,,
000503-00-0830,C01,C02,C13,C10,,,,,,,,,,,,
000503-00-0839,C01,C13,C11,C02,,,,,,,,,,,,
000503-00-0840,C01,C05,C12,C09,C13,C16,C15,C10,,,,,,,,
000503-00-0842,C01,C03,C12,C13,,,,,,,,,,,,
000503-00-0852,C01,C11,C04,C07,C02,C03,C06,C09,C13,C15,C05,C08,C10,C12,C14,C16
000503-00-0860,C01,C02,C13,C11,C10,C06,C05,C03,C09,C04,C07,C15,C14,C12,C16,C08
000503-00-0873,C01,C12,C02,,,,,,,,,,,,,
000503-00-0876,C01,,,,,,,,,,,,,,,
000503-00-0887,C01,C13,C05,C09,,,,,,,,,,,,
000503-00-0889,C01,C10,,,,,,,,,,,,,,
000503-00-0893,C01,C12,C02,C13,,,,,,,,,,,,
000503-00-0900,C01,C08,C09,,,,,,,,,,,,,
000503-00-0902,C01,C02,C13,C08,C16,C05,C15,C09,C06,C12,C04,C14,,,,
000503-00-0927,C01,C12,C05,C09,C16,C13,C15,C10,,,,,,,,
000503-00-0940,C01,C05,C02,C16,C12,C07,C10,C15,C09,,,,,,,
000503-00-0941,C01,C13,C04,C16,C06,C09,,,,,,,,,,
000503-00-0947,C01,,,,,,,,,,,,,,,
000503-00-0950,C01,C09,C02,,,,,,,,,,,,,
000503-00-0956,C01,C06,C11,,,,,,,,,,,,,
000503-00-0958,C01,C05,C06,C02,C13,,,,,,,,,,,
000503-00-0962,C01,C02,C07,C13,C09,C12,C16,C15,C14,C11,C10,C08,C06,C05,C04,C03
000503-00-0965,C01,C02,C13,C12,C16,C05,C09,C04,,,,,,,,
000503-00-0968,C01,C12,C02,C13,C07,C16,C09,,,,,,,,,
000503-00-0971,C01,C13,C04,C16,C02,,,,,,,,,,,
000503-00-0974,C01,C02,C13,C16,C12,C09,,,,,,,,,,
000503-00-0976,C01,,,,,,,,,,,,,,,
000503-00-0979,C01,C13,C09,,,,,,,,,,,,,
000503-00-0981,C01,C02,C06,C09,C13,,,,,,,,,,,
000503-00-0985,C01,C02,C09,C16,C11,C12,C15,,,,,,,,,
000503-00-1002,C01,C13,,,,,,,,,,,,,,
000503-00-1003,C01,C13,C12,C04,C05,,,,,,,,,,,
000503-00-1006,C01,C02,C13,C12,C09,C04,C16,,,,,,,,,
000503-00-1011,C01,C16,C09,C13,C12,C04,C06,C05,C03,,,,,,,
000503-00-1020,C01,C02,C15,C11,C13,C05,,,,,,,,,,
000503-00-1028,C01,C06,,,,,,,,,,,,,,
000503-00-1034,C01,,,,,,,,,,,,,,,
000503-00-1036,C01,C02,C09,C12,,,,,,,,,,,,
000503-00-1042,C01,C02,C03,C11,C15,C09,C13,C12,,,,,,,,
000503-00-1045,C01,C02,C13,C09,C07,C15,C06,,,,,,,,,
000503-00-1049,C01,C09,C04,,,,,,,,,,,,,
000503-00-1077,C01,C02,C16,C06,C13,C14,C10,C11,C15,,,,,,,
000503-00-1099,C01,,,,,,,,,,,,,,,
000503-00-1101,C01,,,,,,,,,,,,,,,
000503-00-1104,C01,C02,C11,C15,C14,C13,C12,C10,C09,C08,C07,C06,C05,C04,,
000503-00-1107,C01,C13,C03,C02,,,,,,,,,,,,
000503-00-1108,C01,C15,C13,C06,C03,C02,,,,,,,,,,
000503-00-0008,C01,C12,C03,C04,C05,C07,C08,C09,C10,,,,,,,
000503-00-0012,C01,C05,C02,C09,C13,,,,,,,,,,,
000203-00-0015,C01,,,,,,,,,,,,,,,
000203-00-0017,C01,C02,C11,C13,C15,C09,C07,C14,C08,,,,,,,
000203-00-0026,C01,C02,C11,C12,C13,,,,,,,,,,,
000203-00-0029,C01,C13,C15,C11,C02,,,,,,,,,,,
000502-00-0003,C01,C11,C09,C13,C15,C02,C03,C05,C06,,,,,,,
000502-00-0019,C01,C02,C16,,,,,,,,,,,,,
000502-00-0023,C01,,,,,,,,,,,,,,,
000502-00-0057,C01,C13,C02,,,,,,,,,,,,,
000502-00-0062,C01,C02,C11,,,,,,,,,,,,,
000502-00-0071,C01,C05,C09,C11,C12,C10,C14,C03,C02,,,,,,,
000502-00-0076,C01,C11,C09,,,,,,,,,,,,,
000502-00-0101,C01,C12,C02,C16,C11,C06,C13,,,,,,,,,
000502-00-0113,C01,C13,,,,,,,,,,,,,,
000502-00-0115,C01,C13,C15,C06,,,,,,,,,,,,
000502-00-0122,C01,C12,C02,C06,C13,C16,C05,C07,C15,,,,,,,
000502-00-0128,C01,C02,C16,C13,C11,C12,,,,,,,,,,
000502-00-0130,C01,C02,C13,C12,,,,,,,,,,,,
000502-00-0149,C01,C14,C11,C09,C02,C13,C16,C05,C07,C10,,,,,,
000502-00-0164,C01,C05,C13,C14,C15,C03,C04,C06,C07,C08,C09,C10,C12,C16,C11,C02
000502-00-0173,C01,C13,C02,C15,C16,C12,C04,C11,C03,,,,,,,
000502-00-0181,C01,C09,C13,C06,C12,C14,,,,,,,,,,
000502-00-0191,C01,C13,C12,,,,,,,,,,,,,
000502-00-0215,C01,C09,C13,C11,C12,C06,C02,C05,C15,C16,,,,,,
000502-00-0218,C01,C02,C12,C15,,,,,,,,,,,,
000502-00-0230,C01,C02,C13,,,,,,,,,,,,,
000502-00-0235,C01,C16,C02,C09,C12,C04,C05,C13,,,,,,,,
000502-00-0238,C01,C05,C13,,,,,,,,,,,,,
000502-00-0255,C01,C11,C02,C09,C13,,,,,,,,,,,
000502-00-0266,C01,C02,C13,C05,C15,,,,,,,,,,,
000502-00-0300,C01,C02,C09,C11,C13,C03,C05,C06,C15,C10,C16,C08,C12,C14,C04,
000502-00-0309,C01,C12,C16,C13,,,,,,,,,,,,
000502-00-0327,C01,C02,C11,C07,C08,C09,C10,C12,C16,C06,C05,C03,,,,
000502-00-0339,C01,C05,C13,C12,C09,C16,,,,,,,,,,
000502-00-0352,C01,C09,C13,,,,,,,,,,,,,
000502-00-0354,C01,C02,C11,C14,C06,,,,,,,,,,,
000502-00-0396,C01,C02,C11,C06,C13,C12,C09,C05,C16,,,,,,,
000502-00-0399,C01,C09,C05,C02,C13,,,,,,,,,,,
000502-00-0400,C01,C02,C05,C09,C03,C14,C06,C13,,,,,,,,
000502-00-0423,C01,,,,,,,,,,,,,,,
000502-00-0428,C01,C05,C12,C13,C02,C09,C04,C16,C11,C07,,,,,,
000502-00-0439,C01,C09,C12,C05,C15,C13,C03,,,,,,,,,
000502-00-0465,C01,C09,C16,C12,C13,C15,,,,,,,,,,
000502-00-0467,C01,C16,C06,,,,,,,,,,,,,
000502-00-0470,C01,C02,C14,C12,C06,C07,C16,C13,,,,,,,,
000502-00-0528,C01,C02,C09,C13,C16,C12,,,,,,,,,,
000502-00-0536,C01,C02,C13,C15,C14,C06,C07,,,,,,,,,
000502-00-0553,C01,C02,C11,C13,C07,C16,,,,,,,,,,
000502-00-0564,C01,C13,C11,C02,,,,,,,,,,,,
000502-00-0575,C01,C13,C02,C09,C12,C05,,,,,,,,,,
000502-00-0578,C01,C16,C05,C13,C09,C15,C12,C07,C06,C02,,,,,,
000502-00-0592,C01,C02,C13,C11,C07,C16,C15,C14,C12,C09,C06,C05,C04,C03,,
000502-00-0602,C01,C13,C02,C03,C11,,,,,,,,,,,
000502-00-0612,C01,C13,C02,,,,,,,,,,,,,
000502-00-0625,C01,C11,C02,C13,C14,,,,,,,,,,,
000502-00-0645,C01,C13,C09,C02,C12,C16,C05,,,,,,,,,
000502-00-0677,C01,C13,C02,C06,,,,,,,,,,,,
000502-00-0690,C01,C09,C02,C13,C11,C12,,,,,,,,,,
000502-00-0698,C01,C16,C02,C09,C13,,,,,,,,,,,
000502-00-0704,C01,C02,C11,C13,C06,C09,C03,C15,C05,C16,,,,,,
000502-00-0739,C01,C02,C12,C13,,,,,,,,,,,,
000502-00-0764,C01,C13,C12,C16,,,,,,,,,,,,
000502-00-0775,C01,C13,C05,C12,,,,,,,,,,,,
000502-00-0799,C01,C03,C09,,,,,,,,,,,,,
000502-00-0807,C01,C12,C05,C15,,,,,,,,,,,,
000502-00-0810,C01,C13,C02,C15,,,,,,,,,,,,
000502-00-0822,C01,C02,C09,,,,,,,,,,,,,
000502-00-0828,C01,C16,C02,C05,C12,,,,,,,,,,,
000502-00-0847,C01,C02,C13,C11,,,,,,,,,,,,
000502-00-0864,C01,C16,C09,C15,C14,C13,C12,C05,,,,,,,,
000502-00-0873,C01,C05,C12,,,,,,,,,,,,,
000502-00-0878,C01,C13,,,,,,,,,,,,,,
000502-00-0903,C01,,,,,,,,,,,,,,,
000502-00-0907,C01,C13,C12,C09,,,,,,,,,,,,
000502-00-0909,C01,C02,C11,C13,C03,,,,,,,,,,,
000502-00-0943,C01,C09,C08,C10,C13,,,,,,,,,,,
000502-00-0945,C01,C02,C09,C05,C04,C16,,,,,,,,,,
000502-00-0953,C01,C11,C09,C13,,,,,,,,,,,,
000502-00-1011,C01,C11,C02,,,,,,,,,,,,,
000502-00-1022,C01,C02,C15,C07,,,,,,,,,,,,
000502-00-1040,C01,C13,C09,C16,C06,C05,C12,,,,,,,,,
000502-00-1041,C01,C09,C13,C15,C06,,,,,,,,,,,
000502-00-1049,C01,C02,C03,,,,,,,,,,,,,
000502-00-1050,C01,C13,C09,,,,,,,,,,,,,
000502-00-1068,C01,C13,C12,C02,C11,,,,,,,,,,,
000502-00-1078,C01,C02,,,,,,,,,,,,,,
000502-00-1093,C01,C12,C15,C16,C10,C02,,,,,,,,,,
000502-00-1103,C01,C12,C13,C02,,,,,,,,,,,,
000502-00-1105,C01,C12,C13,C02,,,,,,,,,,,,
000502-00-1109,C01,C02,C13,,,,,,,,,,,,,
000502-00-1118,C01,,,,,,,,,,,,,,,
000502-00-1123,C01,C12,C05,C13,C06,C15,C16,C07,,,,,,,,
000802-00-0016,C01,C02,C16,C12,C03,C09,C10,C06,C05,C13,C14,C15,C07,C08,C11,C04
000802-00-0020,C01,C09,C02,C05,C06,C13,,,,,,,,,,
000802-00-0044,C01,C05,C16,,,,,,,,,,,,,
000802-00-0047,C01,C05,C16,C09,C13,,,,,,,,,,,
000802-00-0055,C01,C13,C09,C06,C02,,,,,,,,,,,
000802-00-0057,C01,,,,,,,,,,,,,,,
000802-00-0062,C01,C09,C02,C05,C06,C15,,,,,,,,,,
000802-00-0064,C01,C09,C05,C02,C15,C12,,,,,,,,,,
000802-00-0080,C01,C12,C02,C09,C15,C13,C14,C06,C05,,,,,,,
000802-00-0094,C01,C09,C13,C05,C12,C02,,,,,,,,,,
000802-00-0095,C01,,,,,,,,,,,,,,,
000802-00-0099,C01,C09,C13,C05,C12,,,,,,,,,,,
000802-00-0133,C01,C06,C12,C14,,,,,,,,,,,,
000802-00-0135,C01,C12,C13,,,,,,,,,,,,,
000802-00-0149,C01,C12,C06,C13,C02,C04,C14,C09,C15,,,,,,,
000802-00-0154,C01,C02,C13,C12,C16,C04,C05,C09,,,,,,,,
000802-00-0159,C01,C13,C09,,,,,,,,,,,,,
000802-00-0171,C01,C07,C12,C16,,,,,,,,,,,,
000802-00-0177,C01,C12,C03,C06,C13,,,,,,,,,,,
000802-00-0191,C01,C09,C13,C16,,,,,,,,,,,,
000802-00-0196,C01,,,,,,,,,,,,,,,
000802-00-0198,C01,C09,C12,C13,,,,,,,,,,,,
000802-00-0209,C01,C05,C09,C16,C03,C06,C15,C12,,,,,,,,
000802-00-0244,C01,C11,C13,C09,,,,,,,,,,,,
000802-00-0267,C01,C02,C03,C14,C15,C13,C11,overvote,C10,C08,C07,C06,C05,C04,,
000802-00-0277,C01,C02,C06,C11,,,,,,,,,,,,
000802-00-0283,C01,C02,C11,C06,C13,C09,C16,C10,,,,,,,,
000802-00-0296,C01,C12,C05,C03,,,,,,,,,,,,
000802-00-0298,C01,C05,C11,C02,C06,C04,C15,C12,,,,,,,,
000802-00-0308,C01,C09,C13,C06,C02,C03,,,,,,,,,,
000802-00-0321,C01,C05,C12,C16,C09,C02,C07,C13,C06,,,,,,,
000802-00-0326,C01,C09,C13,C02,C05,C06,,,,,,,,,,
000802-00-0330,C01,C02,C09,C12,,,,,,,,,,,,
000802-00-0332,C01,C09,C02,,,,,,,,,,,,,
000802-00-0340,C01,C09,C06,C02,C05,C11,C13,C12,,,,,,,,
000802-00-0345,C01,C09,C06,C12,C03,C02,,,,,,,,,,
000802-00-0350,C01,C09,C06,C12,C16,C07,C05,C11,C13,,,,,,,
000802-00-0364,C01,C09,,,,,,,,,,,,,,
000802-00-0366,C01,C03,C13,C15,C05,C06,C09,C02,C11,,,,,,,
000802-00-0381,C01,C09,C06,C02,C12,,,,,,,,,,,
000802-00-0383,C01,C09,C12,,,,,,,,,,,,,
000802-00-0386,C01,C12,C02,,,,,,,,,,,,,
000802-00-0400,C01,C05,C09,,,,,,,,,,,,,
000802-00-0409,C01,C12,C13,C09,C02,,,,,,,,,,,
000802-00-0412,C01,C04,,,,,,,,,,,,,,
000802-00-0417,C01,C09,,,,,,,,,,,,,,
000802-00-0423,C01,C03,,,,,,,,,,,,,,
000802-00-0430,C01,C09,C06,C12,C14,,,,,,,,,,,
000802-00-0471,C01,,,,,,,,,,,,,,,
000802-00-0473,C01,C02,C13,C03,C09,C07,C04,C06,C10,C12,C14,C15,C16,,,
000802-00-0494,C01,C02,C15,C13,C09,C06,C12,,,,,,,,,
000802-00-0498,C01,C13,C09,C06,C10,,,,,,,,,,,
000802-00-0499,C01,C16,,,,,,,,,,,,,,
000802-00-0502,C01,C13,C12,C07,C16,,,,,,,,,,,
000802-00-0510,C01,C12,C02,C06,C09,C15,C13,C14,C10,C05,,,,,,
000802-00-0521,C01,C02,C05,C09,C12,C15,,,,,,,,,,
000802-00-0532,C01,C09,,,,,,,,,,,,,,
000802-00-0562,C01,C11,C09,,,,,,,,,,,,,
000802-00-0577,C01,C11,,,,,,,,,,,,,,
000802-00-0578,C01,C11,C03,C06,,,,,,,,,,,,
000802-00-0587,C01,C02,C03,C15,C13,C09,C11,,,,,,,,,
000802-00-0595,C01,C16,,,,,,,,,,,,,,
000802-00-0602,C01,C09,C07,C12,C16,,,,,,,,,,,
000802-00-0615,C01,C12,C02,C09,C15,C05,C13,C14,C07,,,,,,,
000802-00-0617,C01,C02,C09,C05,C11,C13,C03,C06,,,,,,,,
000802-00-0633,C01,C02,C13,C09,C12,,,,,,,,,,,
000802-00-0634,C01,C02,C13,C09,,,,,,,,,,,,
000802-00-0651,C01,C02,C09,C11,C10,C06,C05,C03,,,,,,,,
000802-00-0656,C01,C02,C09,C13,C06,C11,C04,,,,,,,,,
000802-00-0658,C01,C09,C02,C15,C12,C13,C06,C05,,,,,,,,
000802-00-0660,C01,C09,,,,,,,,,,,,,,
000802-00-0670,C01,C16,C14,C09,,,,,,,,,,,,
000802-00-0677,C01,C13,C02,,,,,,,,,,,,,
000802-00-0685,C01,C13,C02,,,,,,,,,,,,,
000802-00-0686,C01,C02,C06,C16,C05,C13,C09,C11,,,,,,,,
000802-00-0700,C01,C09,C13,C14,C11,C15,C06,,,,,,,,,
000802-00-0713,C01,C05,C09,C12,C15,C13,C02,C04,C16,,,,,,,
000802-00-0718,C01,C09,C12,,,,,,,,,,,,,
000802-00-0730,C01,C09,,,,,,,,,,,,,,
000802-00-0750,C01,C11,C09,,,,,,,,,,,,,
000802-00-0755,C01,C04,C02,C06,C13,,,,,,,,,,,
000802-00-0763,C01,C09,C06,C13,C02,C12,,,,,,,,,,
000802-00-0766,C01,C03,,,,,,,,,,,,,,
000802-00-0775,C01,C06,C09,C13,C14,C12,C10,C16,,,,,,,,
000802-00-0794,C01,C09,,,,,,,,,,,,,,
000802-00-0810,C01,C09,C05,C02,,,,,,,,,,,,
000802-00-0819,C01,C02,C13,C03,C11,C04,C05,C06,C09,C15,C16,C07,C08,C10,C12,
000802-00-0823,overvote,C01,,,,,,,,,,,,,,
000101-00-0001,C01,C14,C10,C13,C04,,,,,,,,,,,
000101-00-0038,C01,C11,C15,C06,C02,C10,,,,,,,,,,
000101-00-0068,C01,C02,C13,C15,,,,,,,,,,,,
000101-00-0112,C01,C09,C06,C13,C11,,,,,,,,,,,
000101-00-0114,C01,C09,C13,C11,C06,,,,,,,,,,,
000101-00-0137,C01,C13,C10,,,,,,,,,,,,,
000101-00-0280,C01,,,,,,,,,,,,,,,
000101-00-0284,C01,C12,C05,C09,C02,,,,,,,,,,,
000101-00-0306,C01,C03,C13,C15,,,,,,,,,,,,
000101-00-0312,C01,C10,C13,,,,,,,,,,,,,
000101-00-0330,C01,C06,C13,C11,C02,C03,,,,,,,,,,
000101-00-0334,C01,C15,,,,,,,,,,,,,,
000101-00-0378,C01,C13,C06,,,,,,,,,,,,,
000101-00-0391,C01,C02,C13,C10,,,,,,,,,,,,
000101-00-0404,C01,C15,,,,,,,,,,,,,,
000101-00-0485,C01,C13,C15,,,,,,,,,,,,,
000101-00-0519,C01,C13,C05,C02,,,,,,,,,,,,
000101-00-0530,C01,C02,C05,C13,C15,C16,C03,C07,C06,C10,,,,,,
000101-00-0567,C01,C02,C09,C03,C10,C13,C15,C06,C05,,,,,,,
000101-00-0570,C01,C09,C02,C11,C15,C04,C13,C05,C06,,,,,,,
000101-00-0578,C01,C13,C15,C07,,,,,,,,,,,,
000101-00-0638,C01,,,,,,,,,,,,,,,
000101-00-0653,C01,C02,C16,,,,,,,,,,,,,
000101-00-0007,C01,C15,C13,C02,WI0,C05,,,,,,,,,,
000703-00-0015,C01,C09,C13,,,,,,,,,,,,,
000703-00-0021,C01,C12,,,,,,,,,,,,,,
000703-00-0035,C01,C12,C05,C13,C09,C15,C02,C11,,,,,,,,
000703-00-0038,C01,C13,C15,C09,C04,C03,C06,C05,C16,C14,C12,C10,C08,C07,C02,C11
000703-00-0050,C01,C02,C10,,,,,,,,,,,,,
000703-00-0057,C01,C09,C05,C15,C13,C12,C16,C06,C10,,,,,,,
000703-00-0069,C01,C16,C12,,,,,,,,,,,,,
000703-00-0077,C01,C09,,,,,,,,,,,,,,
000703-00-0093,C01,C12,C15,C05,C09,C06,C13,C11,C02,C03,C07,C04,C08,C10,C16,C14
000703-00-0101,C01,C02,C09,C13,C03,,,,,,,,,,,
000703-00-0108,C01,C05,C16,C12,C13,C07,C06,C09,C02,C04,C15,,,,,
000703-00-0114,C01,C02,C09,C15,C03,C13,C12,,,,,,,,,
000703-00-0118,C01,C16,C12,,,,,,,,,,,,,
000703-00-0119,C01,C09,C13,C15,C06,C05,C03,C07,C12,,,,,,,
000302-00-0010,C01,C14,C15,C03,C04,,,,,,,,,,,
000302-00-0014,C01,C02,C12,C04,,,,,,,,,,,,
000302-00-0044,C01,C12,C13,C14,C11,C09,C05,C02,C03,C15,C16,C04,C06,C07,C08,C10
000302-00-0047,C01,C12,C05,C11,C02,C13,C03,C06,,,,,,,,
000302-00-0064,C01,C16,C02,C13,C12,,,,,,,,,,,
000302-00-0105,C01,C13,C09,C12,C16,,,,,,,,,,,
000302-00-0127,C01,C02,C15,C11,,,,,,,,,,,,
000302-00-0129,C01,,,,,,,,,,,,,,,
000302-00-0210,C01,,,,,,,,,,,,,,,
000302-00-0339,C01,C11,C02,,,,,,,,,,,,,
000302-00-0359,C01,,,,,,,,,,,,,,,
000302-00-0409,C01,C16,C15,C14,C13,C12,C11,C10,C09,C08,C02,C03,C04,C05,C06,C07
000302-00-0427,C01,C13,C09,C16,,,,,,,,,,,,
000302-00-0479,C01,C02,C16,C13,C11,,,,,,,,,,,
000302-00-0508,C01,C04,C12,C05,,,,,,,,,,,,
000302-00-0512,C01,C04,C15,C12,C14,C02,C11,C16,C13,C06,C07,C05,C08,C09,C10,C03
000302-00-0536,C01,C16,,,,,,,,,,,,,,
000302-00-0543,C01,C09,C02,,,,,,,,,,,,,
